"ID1","ID2","user","result","date"
"IR-0000024","IR-0000033","kappa","Very similar","2019-10-27T23:26:07.254Z"
"IR-0000007","IR-0000005","kappa","Somewhat similar","2019-10-27T23:26:10.349Z"
"IR-0000007","IR-0000008","kappa","Very similar","2019-10-27T23:26:13.719Z"
"IR-0000026","IR-0000023","kappa","Nearly identical","2019-10-27T23:26:15.844Z"
"IR-0000024","IR-0000005","kappa","Very similar","2019-10-28T05:31:56.438Z"
"IR-0000026","IR-0000022","kappa","Not at all similar","2019-10-28T19:40:25.071Z"
"IR-0000025","IR-0000023","kappa","Not at all similar","2019-10-28T19:40:31.360Z"
"IR-0000024","IR-0000033","kappa","Not at all similar","2019-10-28T20:34:18.444Z"
"IR-0000007","IR-0000005","kappa","Not at all similar","2019-10-28T20:35:10.211Z"
"IR-0000024","IR-0000033","kappa","Nearly identical","2019-10-28T20:36:43.694Z"
"IR-0000024","IR-0000005","kappa","Nearly identical","2019-10-28T20:39:47.215Z"
"IR-0000024","IR-0000005","kappa","Nearly identical","2019-10-28T20:45:33.264Z"
"IR-0000024","IR-0000033","kappa","Very similar","2019-10-28T20:46:55.636Z"
"IR-0000022","IR-0000018","logan","Not at all similar","2019-10-28T20:47:17.820Z"
"IR-0000002","IR-0000033","logan","Nearly identical","2019-10-28T20:47:19.344Z"
"IR-0000022","IR-0000018","logan","Somewhat similar","2019-10-28T20:47:28.043Z"
"IR-0000002","IR-0000033","logan","Not at all similar","2019-10-28T20:47:55.626Z"
"IR-0000002","IR-0000033","logan","Nearly identical","2019-10-28T20:48:10.082Z"
"IR-0000022","IR-0000018","logan","Not at all similar","2019-10-28T20:48:19.051Z"
"IR-0000022","IR-0000018","logan","Nearly identical","2019-10-28T20:49:24.075Z"
"IR-0000002","IR-0000033","logan","Nearly identical","2019-10-28T20:49:27.660Z"
"IR-0000022","IR-0000018","logan","Very similar","2019-10-28T20:49:32.248Z"
"IR-0000022","IR-0000018","logan","Not at all similar","2019-10-28T20:49:35.947Z"
"IR-0000022","IR-0000018","logan","Very similar","2019-10-28T20:49:46.526Z"
"IR-0000002","IR-0000033","logan","Somewhat similar","2019-10-28T20:50:06.054Z"
"IR-0000016","IR-0000033","jayce","Not at all similar","2019-10-28T20:50:25.875Z"
"IR-0000032","IR-0000007","jayce","Nearly identical","2019-10-28T20:50:27.610Z"
"IR-0000016","IR-0000033","jayce","Not at all similar","2019-10-28T20:50:46.114Z"
"IR-0000032","IR-0000007","jayce","Very similar","2019-10-28T20:51:00.410Z"
"IR-0000032","IR-0000007","jayce","Nearly identical","2019-10-28T20:51:30.634Z"
"IR-0000016","IR-0000033","jayce","Not at all similar","2019-10-28T20:51:40.042Z"
"IR-0000016","IR-0000033","jayce","Somewhat similar","2019-10-28T20:51:49.114Z"
"IR-0000016","IR-0000033","jayce","Not at all similar","2019-10-28T20:54:18.816Z"
"IR-0000016","IR-0000033","jayce","Nearly identical","2019-10-28T20:57:15.128Z"
"IR-0000016","IR-0000033","jayce","Not at all similar","2019-10-28T20:57:24.673Z"
"IR-0000032","IR-0000007","jayce","Somewhat similar","2019-10-28T20:57:31.770Z"
"IR-0000016","IR-0000033","jayce","Somewhat similar","2019-10-28T20:57:49.378Z"
"IR-0000032","IR-0000007","jayce","Nearly identical","2019-10-28T20:58:08.344Z"
"IR-0000002","IR-0000012","toppo","Not at all similar","2019-10-28T21:00:15.282Z"
"IR-0000034","IR-0000007","toppo","Not at all similar","2019-10-28T21:00:16.944Z"
"IR-0000002","IR-0000012","toppo","Very similar","2019-10-28T21:00:24.080Z"
"IR-0000034","IR-0000007","toppo","Nearly identical","2019-10-28T21:00:35.735Z"
"IR-0000034","IR-0000007","toppo","Not at all similar","2019-10-28T21:00:44.944Z"
"IR-0000002","IR-0000012","toppo","Very similar","2019-10-28T21:01:49.567Z"
"IR-0000034","IR-0000007","toppo","Not at all similar","2019-10-28T21:02:00.298Z"
"IR-0000002","IR-0000012","toppo","Nearly identical","2019-10-28T21:02:06.024Z"
"IR-0000034","IR-0000007","toppo","Nearly identical","2019-10-28T21:02:13.183Z"
"IR-0000002","IR-0000012","toppo","Not at all similar","2019-10-28T21:02:25.238Z"
"IR-0000002","IR-0000012","toppo","Very similar","2019-10-28T21:07:53.405Z"
"IR-0000002","IR-0000012","toppo","Nearly identical","2019-10-28T21:08:23.304Z"
"IR-0000027","IR-0000034","telo","Not at all similar","2019-10-28T21:35:43.530Z"
"IR-0000026","IR-0000002","telo","Nearly identical","2019-10-28T21:35:46.911Z"
"IR-0000027","IR-0000034","telo","Not at all similar","2019-10-28T21:36:00.408Z"
"IR-0000027","IR-0000034","telo","Very similar","2019-10-28T21:36:07.673Z"
"IR-0000027","IR-0000034","telo","Nearly identical","2019-10-28T21:36:19.999Z"
"IR-0000027","IR-0000034","telo","Somewhat similar","2019-10-28T21:36:30.919Z"
"IR-0000027","IR-0000034","telo","Nearly identical","2019-10-28T21:36:35.346Z"
"IR-0000027","IR-0000034","telo","Somewhat similar","2019-10-28T21:36:41.177Z"
"IR-0000027","IR-0000034","telo","Not at all similar","2019-10-28T21:36:54.800Z"
"IR-0000027","IR-0000034","telo","Somewhat similar","2019-10-28T21:37:12.483Z"
"IR-0000027","IR-0000034","telo","Nearly identical","2019-10-28T21:37:34.730Z"
"IR-0000027","IR-0000034","telo","Somewhat similar","2019-10-28T21:37:50.950Z"
"IR-0000020","IR-0000026","melo","Not at all similar","2019-10-28T21:38:44.528Z"
"IR-0000031","IR-0000018","melo","Very similar","2019-10-28T21:38:46.887Z"
"IR-0000020","IR-0000026","melo","Somewhat similar","2019-10-28T21:38:53.206Z"
"IR-0000031","IR-0000018","melo","Nearly identical","2019-10-28T21:39:01.118Z"
"IR-0000020","IR-0000026","melo","Not at all similar","2019-10-28T21:39:07.866Z"
"IR-0000031","IR-0000018","melo","Very similar","2019-10-28T21:39:18.769Z"
"IR-0000020","IR-0000026","melo","Not at all similar","2019-10-28T21:39:25.613Z"
"IR-0000020","IR-0000026","melo","Very similar","2019-10-28T21:39:39.051Z"
"IR-0000020","IR-0000026","melo","Somewhat similar","2019-10-28T21:39:50.600Z"
"IR-0000027","IR-0000028","just","Not at all similar","2019-10-28T21:45:01.525Z"
"IR-0000027","IR-0000028","just","Somewhat similar","2019-10-28T21:45:08.098Z"
"IR-0000027","IR-0000028","just","Nearly identical","2019-10-28T21:45:16.442Z"
"IR-0000028","IR-0000013","juice","Not at all similar","2019-10-28T23:23:57.621Z"
"IR-0000028","IR-0000013","juice","Very similar","2019-10-28T23:24:06.461Z"
"IR-0000028","IR-0000013","juice","Not at all similar","2019-10-28T23:24:40.933Z"
"IR-0000028","IR-0000013","juice","Somewhat similar","2019-10-28T23:26:53.929Z"
"IR-0000028","IR-0000013","juice","Somewhat similar","2019-10-28T23:27:06.439Z"
